ID,ReleaseDate,Rank,Movie,Distributor,Genre,Gross,Tickets Sold
326,18-12-2013,27,Anchorman 2: The Legend Con…,Paramount Pictures,Comedy,108773941,13379328
327,10-03-2023,23,Scream VI,Paramount Pictures,Horror,108391107,10054834
328,11-01-2019,27,The Upside,STX Entertainment,Comedy,108235497,11816102
329,16-06-2023,24,The Flash,Warner Bros.,Action,108167507,10034092
330,01-04-2011,25,Hop,Universal,Adventure,108085305,13629925
331,28-06-2017,29,Baby Driver,Sony Pictures,Thriller/Suspense,107825862,12020720
332,24-05-2013,28,Epic,20th Century Fox,Adventure,107518682,13224930
333,20-05-2016,26,The Angry Birds Movie,Sony Pictures,Adventure,107509366,12428828
334,16-12-2016,30,Rogue One: A Star Wars Story,Walt Disney,Adventure,107189617,11949790
335,22-10-2021,12,Dune,Warner Bros.,Action,107176143,10538460
336,07-03-2014,26,300: Rise of an Empire,Warner Bros.,Action,106580051,13045293
337,25-12-2012,26,Django Unchained,Weinstein Co.,Western,106280122,13351774
